frame,unique_id,aligned_x,aligned_y
87,c2_1,0.9766854163575776,0.6653141316068414
88,c2_1,0.9795306090753657,0.6616600319905882
89,c2_1,0.9819213336543058,0.6583269545351659
90,c2_1,0.9836806040424881,0.655463407311913
91,c2_1,0.9849898782542388,0.6524948920912127
92,c2_1,0.9859211743440177,0.6497228969781583
93,c2_1,0.9864504862936725,0.6470469259377186
94,c2_1,0.9869513202627562,0.6446964490205265
95,c2_1,0.9869211960761142,0.64279149631735
96,c2_1,0.9860871036092229,0.6410785917594032
97,c2_1,0.9863584675276744,0.6391016210017657
98,c2_1,0.9892907403932454,0.6367014858421941
99,c2_1,1.0019186446581183,0.6321977650099296
100,c2_1,1.0214567693219907,0.6259371328900285
101,c2_1,1.0453402295103587,0.6187447380245492
102,c2_1,1.0728415469598493,0.6106881265055367
103,c2_1,1.1023003011112409,0.6023763927116661
104,c2_1,1.1315295852119998,0.5944381650773504
105,c2_1,1.1588974566834729,0.5871570438580173
106,c2_1,1.1859353620692832,0.5802734348163927
107,c2_1,1.2134757476302482,0.5732697956839996
108,c2_1,1.2406621610873967,0.5665631726942837
109,c2_1,1.266063651932137,0.5603891540663655
110,c2_1,1.287316327360028,0.5555248763059966
111,c2_1,1.3063820960353865,0.5512892269800403
112,c2_1,1.3251178986250811,0.5474510898317925
113,c2_1,1.3450836596533038,0.5434253765007314
114,c2_1,1.3650209427009559,0.5397251572929176
115,c2_1,1.3839052533619896,0.5360640061965785
116,c2_1,1.400425671218581,0.5331799916059906
117,c2_1,1.4139312080242363,0.5310161575600139
118,c2_1,1.4244938818334174,0.5298739921637416
119,c2_1,1.4328696488900659,0.5293604552018824
120,c2_1,1.440010985545769,0.5294604845811147
121,c2_1,1.4464248439381007,0.5296280600523916
122,c2_1,1.4518337419801202,0.5300356957052058
123,c2_1,1.4567116818664134,0.5308888555720357
124,c2_1,1.461460647737105,0.5320915155802666
125,c2_1,1.4650427292988977,0.5346352201929614
